Barcelona,1982-83,2,0,1,1,1,0,0,1,0,0,1,1,0,0,2,2,0,0,0,0,1,0,0,0,1,2,1,1,0,0,4.0
Atletico de Madrid,1982-83,0,0,0,2,1,2,0,2,0,0,1,2,2,0,0,0,2,0,1,0,1,2,1,0,0,2,0,1,0,0,3.0
Salamanca,1982-83,2,0,0,2,1,1,0,2,1,2,2,2,0,2,0,1,0,2,1,0,2,0,2,1,0,2,1,2,1,2,13.0
Osasuna,1982-83,1,2,2,0,1,2,2,0,2,0,2,0,2,1,2,0,2,2,1,2,1,1,2,2,2,0,2,0,2,0,14.0
Sevilla,1982-83,0,2,1,2,0,0,0,0,1,2,1,0,1,0,1,1,0,2,1,2,0,1,0,2,0,0,2,1,1,1,5.0
Celta de Vigo,1982-83,2,2,2,1,2,1,2,0,0,2,2,1,2,1,0,0,0,0,2,2,2,1,1,0,2,2,2,2,2,2,17.0
Real Madrid,1982-83,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0,2,0,0,1,0,1,1,2,0,0,0,1,0,1,2,2.0
Zaragoza,1982-83,0,0,2,1,0,2,0,0,0,0,1,0,2,0,2,0,2,1,0,2,1,2,1,0,0,2,0,1,2,0,6.0
Elche,1984-85,2,2,1,2,1,0,0,1,2,2,2,1,2,1,2,1,2,1,0,2,1,1,1,2,0,2,1,2,1,0,17.0
Valencia,1984-85,0,0,2,2,0,0,1,1,0,1,1,1,1,1,1,2,0,1,2,1,0,1,2,1,0,2,2,2,2,2,9.0
Espanol,1984-85,1,2,1,2,1,2,0,1,0,2,0,1,2,1,2,2,2,1,0,1,1,1,1,2,0,0,0,0,0,0,8.0
Atletico de Madrid,1984-85,1,0,0,0,2,0,0,1,2,2,1,1,0,1,2,1,0,1,1,0,0,0,0,0,2,1,1,0,0,0,2.0
Real Sociedad,1984-85,1,2,0,2,0,2,1,1,1,0,1,1,0,1,0,0,2,2,0,1,2,1,0,2,1,1,0,2,2,0,7.0
CD Malaga,1984-85,2,0,2,2,0,2,1,1,0,1,2,1,1,1,0,0,0,2,2,2,1,2,0,1,1,1,1,2,1,2,16.0
Sevilla,1984-85,0,0,2,0,1,0,2,1,0,2,1,1,1,1,2,2,0,0,1,1,0,1,2,2,2,0,2,2,2,0,12.0
Osasuna,1984-85,0,2,0,1,1,2,0,0,2,2,2,2,0,1,2,2,0,1,1,1,0,2,2,0,0,2,1,0,0,2,6.0
Real Madrid,1984-85,2,1,0,2,0,1,0,1,0,0,2,0,0,1,0,0,1,2,1,1,2,1,1,2,1,0,2,0,2,0,5.0
Barcelona,1984-85,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,0,2,0,1.0
Zaragoza,1984-85,2,2,0,1,0,2,2,1,2,0,0,1,2,1,0,1,2,1,2,0,1,0,0,0,1,1,1,2,2,2,10.0
Hercules,1984-85,0,0,1,1,2,1,2,0,2,1,1,2,1,2,1,2,1,1,2,1,2,1,2,2,0,0,1,2,0,2,15.0
Espanol,1985-86,0,2,2,2,1,2,0,1,2,0,2,2,2,0,1,0,1,1,0,2,0,1,1,2,0,0,1,2,2,2,11.0
Cadiz,1985-86,2,0,2,0,1,1,2,0,2,0,0,2,0,1,0,2,2,1,2,2,2,0,2,2,1,2,1,2,2,0,15.0
Las Palmas,1985-86,2,1,2,2,0,2,0,2,0,2,0,2,1,2,2,1,0,2,1,2,2,1,0,1,0,2,1,1,0,2,13.0
Sporting de Gijon,1985-86,0,1,1,0,1,0,1,1,0,0,1,0,2,1,0,2,1,0,2,1,1,1,0,1,1,2,2,0,0,1,6.0
Osasuna,1985-86,2,2,0,1,1,2,2,2,2,2,0,1,0,2,0,2,2,2,1,1,2,2,0,2,0,0,2,2,0,0,14.0
Real Sociedad,1985-86,1,1,0,1,2,0,2,0,2,0,2,0,2,2,2,0,2,0,0,0,0,0,1,1,2,2,0,0,2,0,7.0
Celta de Vigo,1985-86,1,2,2,0,2,2,2,0,2,2,2,2,2,0,2,1,1,2,2,0,2,2,2,2,2,2,2,2,1,2,18.0
Valencia,1985-86,0,2,0,2,0,1,2,1,1,0,2,1,1,2,2,2,0,1,2,2,1,2,2,1,2,2,2,1,2,2,16.0
Atletico de Madrid,1985-86,0,1,0,2,2,2,0,1,0,1,0,0,0,1,0,0,1,2,0,2,0,2,2,0,1,0,0,1,0,2,5.0
Sevilla,1985-86,2,0,2,0,1,1,0,2,1,0,1,2,0,0,1,2,1,0,1,1,0,2,1,0,0,2,0,2,0,2,9.0
Real Madrid,1985-86,1,0,0,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
